"Dates","AAPL","AMZN","ABT","ADBE","AMGN","AEP","AFL","AIG","ALL","APD","ADM","AKAM"
"12-08-2016",108.18,772.56,45.04,101.04,173.02,67.55,36.345,58.85,69.13,138.5278,44.07,51.97
"15-08-2016",109.48,768.49,45.15,100.93,174.58,66.52,36.34,59.22,69.39,140.0809,43.77,52.05
"16-08-2016",109.38,764.04,44.92,100.6,172.16,65.68,36.1,59.31,68.95,141.2366,43.47,52
"17-08-2016",109.22,764.63,44.68,99.7,174.31,66.5,36.335,59.03,69.12,142.1148,43.63,52.34
"18-08-2016",109.08,764.46,44.36,100.67,174.75,67.4,36.13,58.98,69.44,143.2705,43.57,52.35
"19-08-2016",109.36,757.31,44.24,100.32,173.62,66.37,36.44,58.86,69.17,143.9269,43.48,52.95
"22-08-2016",108.51,759.48,44.17,100.24,174.35,66.52,36.32,58.99,68.87,143.742,43.8,52.98
"23-08-2016",108.85,762.45,43.9,101.14,174.4,66.28,36.39,59.02,68.36,143.6957,44.12,53.6
"24-08-2016",108.03,757.25,43.17,101.14,170.84,66.34,36.35,58.91,68.26,143.4923,43.32,53.98
"25-08-2016",107.57,759.22,42.84,101.69,170.23,66.37,36.495,58.94,68.54,143.9731,42.56,54.56
"26-08-2016",106.94,769,42.98,102.06,171.97,64.69,36.375,59.02,68.32,142.6048,42.39,55.31
"29-08-2016",106.82,771.29,43.25,102.3,171.51,65.18,36.85,59.43,68.74,144.121,42.84,55.04
"30-08-2016",106,767.58,42.83,102,170.76,64.32,37.14,59.64,69.17,144.8236,43.21,54.89
"31-08-2016",106.1,769.16,42.02,102.31,170.06,64.57,37.09,59.83,68.96,143.8714,43.76,54.9
"01-09-2016",106.73,770.62,42.3,102.9,170.13,64.41,36.935,59.41,68.66,144.5001,43.14,55.07
"02-09-2016",107.73,772.44,42.09,103.57,169.77,65.24,36.995,59.86,68.95,145.2304,43.82,55.33
"05-09-2016",107.73,772.44,42.09,103.57,169.77,65.24,36.995,59.86,68.95,145.2304,43.82,55.33
"06-09-2016",107.7,788.87,42.16,103.5,170.84,66.04,36.83,59.45,69.31,145.517,43.94,55.5
"07-09-2016",108.36,784.48,41.9,103,170.63,66.05,36.765,59.37,69.44,145.517,44.02,54.08
"08-09-2016",105.52,784.06,41.85,101.88,170.97,66.1,36.47,59.04,69.22,144.121,43.24,53.5
"09-09-2016",103.13,760.14,41.01,99.38,166.55,63.71,36.2,58.67,67.96,140.0902,42.02,52.5
"12-09-2016",105.44,771.49,41.42,100.32,172.04,64.71,36.71,58.99,68.48,139.2119,42.96,53.09
"13-09-2016",107.95,761.01,40.64,98.77,169.3,63.81,35.915,58.23,67.92,136.5586,42,51.87
"14-09-2016",111.77,761.09,40.81,98.79,170.14,64.02,35.9,58.08,67.39,135.7358,41.98,51.65
"15-09-2016",115.57,769.69,41.12,99.62,172.64,64.3,36.17,58.59,67.82,135.5139,42.28,51.38
"16-09-2016",114.92,778.52,41.87,98.93,172.96,64.81,35.67,57.9,67.41,134.7928,42.03,50.98
"19-09-2016",113.58,775.1,41.68,99.68,171.38,65.42,36.01,57.84,67.46,135.7173,42.18,51.62
"20-09-2016",113.57,780.22,41.58,100.62,173.38,65.01,36.225,57.84,67.87,135.9669,42.15,51.36
"21-09-2016",113.55,789.74,41.92,107.78,173.85,66.19,36.75,58.09,68.66,137.5108,42.81,52.21
"22-09-2016",114.62,804.7,42.22,107.92,175.62,66.6,36.76,58.99,68.94,136.9653,42.98,52.43
"23-09-2016",112.71,805.75,42.19,107.47,174.8,66.66,36.37,58.73,68.49,136.3274,42.47,52.25
"26-09-2016",112.88,799.16,41.68,107.26,173.53,66.36,36.01,58.25,68.39,137.1502,41.9,51.76
"27-09-2016",113.09,816.11,42.33,109.7,171.63,65.5,36.21,58.51,68.98,137.6032,41.89,52.65
"28-09-2016",113.95,828.72,42.29,109.49,169.71,65.36,36.235,59.5,69.1,138.4723,41.85,52.28
"29-09-2016",112.18,829.05,41.44,107.8,165.45,64.5,35.78,58.4,68.64,139.1472,41.53,52.41
"30-09-2016",113.05,837.31,42.29,108.54,166.81,64.21,35.935,59.34,69.18,138.99,42.17,52.99
"03-10-2016",112.52,836.74,42.55,108.45,167.34,63.51,35.785,58.92,68.4,140.57,42.9,53.71
"04-10-2016",113,834.03,42.1,108.39,167.55,62.18,35.75,59.08,67.84,137.32,42.79,54.64
"05-10-2016",113.05,844.36,42.74,108.8,167.24,62.18,35.95,59.9,67.81,136.98,43.27,55.98
"06-10-2016",113.89,841.66,42.97,108.56,166.9,62.25,36.035,59.95,67.77,137.03,43.16,54.86
"07-10-2016",114.06,839.43,42.97,108.64,167.5,61.79,35.69,60.06,68.43,135.08,42.65,54.95
"10-10-2016",116.05,841.71,43.5,109.24,168.31,62.21,35.84,60.44,68.49,135.4,43.27,55.31
"11-10-2016",116.3,831,41.16,107.37,164.32,61.34,35.49,59.86,68.2,132.65,42.34,54.13
"12-10-2016",117.34,834.09,40.98,108.05,163.88,62,35.81,60.44,69.04,132.81,42.39,54.28
"13-10-2016",116.98,829.28,40.98,108.01,164.29,62.53,35.305,59.59,69.09,132.26,42.25,54.45
